"Name","RowId","DataVersion","ZodiacType","ElementType","ElementPassiveSkillId","ElementSkill1Id","ElementSkill2Id","ElementSkill3Id","ElementSkill4Id","ZodiacUltimateSkillId","ElementPassiveInputKey","ElementSkill1InputKey","ElementSkill2InputKey","ElementSkill3InputKey","ElementSkill4InputKey","ZodiacUltimateInputKey","ResonanceInputKey","ElementResonanceLevel","ResonanceElement","ResonanceControlTimeBonus","ResonanceShieldBonus","AbilitySetAsset","DisplayName","Description","Icon","OriginalSourceName","SanitizedName","SanitizedAssetName","bEnabled","bIsInDevelopment","DesignerNotes"
"Rat_Gold","Rat_Gold","1","Rat","Gold","Rat_Gold_Passive","Rat_Gold_Skill01","Rat_Gold_Skill02","Rat_Gold_Skill03","Rat_Gold_Skill04","Rat_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","鼠金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rat_Gold","Rat_Gold","Rat_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rat_Wood","Rat_Wood","1","Rat","Wood","Rat_Wood_Passive","Rat_Wood_Skill01","Rat_Wood_Skill02","Rat_Wood_Skill03","Rat_Wood_Skill04","Rat_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","鼠木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rat_Wood","Rat_Wood","Rat_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rat_Water","Rat_Water","1","Rat","Water","Rat_Water_Passive","Rat_Water_Skill01","Rat_Water_Skill02","Rat_Water_Skill03","Rat_Water_Skill04","Rat_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","鼠水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rat_Water","Rat_Water","Rat_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rat_Fire","Rat_Fire","1","Rat","Fire","Rat_Fire_Passive","Rat_Fire_Skill01","Rat_Fire_Skill02","Rat_Fire_Skill03","Rat_Fire_Skill04","Rat_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","鼠火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rat_Fire","Rat_Fire","Rat_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rat_Earth","Rat_Earth","1","Rat","Earth","Rat_Earth_Passive","Rat_Earth_Skill01","Rat_Earth_Skill02","Rat_Earth_Skill03","Rat_Earth_Skill04","Rat_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","鼠土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rat_Earth","Rat_Earth","Rat_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Ox_Gold","Ox_Gold","1","Ox","Gold","Ox_Gold_Passive","Ox_Gold_Skill01","Ox_Gold_Skill02","Ox_Gold_Skill03","Ox_Gold_Skill04","Ox_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","牛金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Ox_Gold","Ox_Gold","Ox_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Ox_Wood","Ox_Wood","1","Ox","Wood","Ox_Wood_Passive","Ox_Wood_Skill01","Ox_Wood_Skill02","Ox_Wood_Skill03","Ox_Wood_Skill04","Ox_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","牛木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Ox_Wood","Ox_Wood","Ox_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Ox_Water","Ox_Water","1","Ox","Water","Ox_Water_Passive","Ox_Water_Skill01","Ox_Water_Skill02","Ox_Water_Skill03","Ox_Water_Skill04","Ox_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","牛水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Ox_Water","Ox_Water","Ox_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Ox_Fire","Ox_Fire","1","Ox","Fire","Ox_Fire_Passive","Ox_Fire_Skill01","Ox_Fire_Skill02","Ox_Fire_Skill03","Ox_Fire_Skill04","Ox_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","牛火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Ox_Fire","Ox_Fire","Ox_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Ox_Earth","Ox_Earth","1","Ox","Earth","Ox_Earth_Passive","Ox_Earth_Skill01","Ox_Earth_Skill02","Ox_Earth_Skill03","Ox_Earth_Skill04","Ox_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","牛土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Ox_Earth","Ox_Earth","Ox_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Tiger_Gold","Tiger_Gold","1","Tiger","Gold","Tiger_Gold_Passive","Tiger_Gold_Skill01","Tiger_Gold_Skill02","Tiger_Gold_Skill03","Tiger_Gold_Skill04","Tiger_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","虎金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Tiger_Gold","Tiger_Gold","Tiger_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Tiger_Wood","Tiger_Wood","1","Tiger","Wood","Tiger_Wood_Passive","Tiger_Wood_Skill01","Tiger_Wood_Skill02","Tiger_Wood_Skill03","Tiger_Wood_Skill04","Tiger_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","虎木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Tiger_Wood","Tiger_Wood","Tiger_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Tiger_Water","Tiger_Water","1","Tiger","Water","Tiger_Water_Passive","Tiger_Water_Skill01","Tiger_Water_Skill02","Tiger_Water_Skill03","Tiger_Water_Skill04","Tiger_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","虎水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Tiger_Water","Tiger_Water","Tiger_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Tiger_Fire","Tiger_Fire","1","Tiger","Fire","Tiger_Fire_Passive","Tiger_Fire_Skill01","Tiger_Fire_Skill02","Tiger_Fire_Skill03","Tiger_Fire_Skill04","Tiger_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","虎火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Tiger_Fire","Tiger_Fire","Tiger_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Tiger_Earth","Tiger_Earth","1","Tiger","Earth","Tiger_Earth_Passive","Tiger_Earth_Skill01","Tiger_Earth_Skill02","Tiger_Earth_Skill03","Tiger_Earth_Skill04","Tiger_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","虎土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Tiger_Earth","Tiger_Earth","Tiger_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rabbit_Gold","Rabbit_Gold","1","Rabbit","Gold","Rabbit_Gold_Passive","Rabbit_Gold_Skill01","Rabbit_Gold_Skill02","Rabbit_Gold_Skill03","Rabbit_Gold_Skill04","Rabbit_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","兔金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rabbit_Gold","Rabbit_Gold","Rabbit_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rabbit_Wood","Rabbit_Wood","1","Rabbit","Wood","Rabbit_Wood_Passive","Rabbit_Wood_Skill01","Rabbit_Wood_Skill02","Rabbit_Wood_Skill03","Rabbit_Wood_Skill04","Rabbit_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","兔木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rabbit_Wood","Rabbit_Wood","Rabbit_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rabbit_Water","Rabbit_Water","1","Rabbit","Water","Rabbit_Water_Passive","Rabbit_Water_Skill01","Rabbit_Water_Skill02","Rabbit_Water_Skill03","Rabbit_Water_Skill04","Rabbit_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","兔水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rabbit_Water","Rabbit_Water","Rabbit_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
