Name,Zodiac,SkillSlotIndex,SkillSlotName,DisplayName,EnglishName
Rat_Passive,Rat,0,Passive,灵鼠印,
Rat_Skill01,Rat,1,Skill01,钻影,
Rat_Skill02,Rat,2,Skill02,飞牙,
Rat_Skill03,Rat,3,Skill03,鼠遁,
Rat_Skill04,Rat,4,Skill04,探穴,
Rat_Ultimate,Rat,5,Ultimate,子夜现身,
Ox_Passive,Ox,0,Passive,牛劲,
Ox_Skill01,Ox,1,Skill01,角挑,
Ox_Skill02,Ox,2,Skill02,铁蹄震,
Ox_Skill03,Ox,3,Skill03,巨盾阵,
Ox_Skill04,Ox,4,Skill04,回身顶,
Ox_Ultimate,Ox,5,Ultimate,蛮牛开山,
Tiger_Passive,Tiger,0,Passive,虎威,
Tiger_Skill01,Tiger,1,Skill01,虎跃,
Tiger_Skill02,Tiger,2,Skill02,三裂爪,
Tiger_Skill03,Tiger,3,Skill03,虎啸提气,
Tiger_Skill04,Tiger,4,Skill04,追风爪,
Tiger_Ultimate,Tiger,5,Ultimate,白虎点将,
Rabbit_Passive,Rabbit,0,Passive,轻月,
Rabbit_Skill01,Rabbit,1,Skill01,踏月返,
Rabbit_Skill02,Rabbit,2,Skill02,月牙轮,
Rabbit_Skill03,Rabbit,3,Skill03,月闪,
Rabbit_Skill04,Rabbit,4,Skill04,留月影,
Rabbit_Ultimate,Rabbit,5,Ultimate,玉兔拜月,
Dragon_Passive,Dragon,0,Passive,龙雷印,
Dragon_Skill01,Dragon,1,Skill01,雷龙,
Dragon_Skill02,Dragon,2,Skill02,云雷阵,
Dragon_Skill03,Dragon,3,Skill03,龙鳞护,
Dragon_Skill04,Dragon,4,Skill04,雷门,
Dragon_Ultimate,Dragon,5,Ultimate,苍龙唤雷,
Snake_Passive,Snake,0,Passive,蛇纹,
Snake_Skill01,Snake,1,Skill01,蛇探,
Snake_Skill02,Snake,2,Skill02,蛇环,
Snake_Skill03,Snake,3,Skill03,蜕影步,
Snake_Skill04,Snake,4,Skill04,花步,
Snake_Ultimate,Snake,5,Ultimate,百花蛇舞,
Horse_Passive,Horse,0,Passive,奔势,
Horse_Skill01,Horse,1,Skill01,雷蹄冲,
Horse_Skill02,Horse,2,Skill02,赤焰旋,
Horse_Skill03,Horse,3,Skill03,驰援,
Horse_Skill04,Horse,4,Skill04,踏火印,
Horse_Ultimate,Horse,5,Ultimate,奔雷入阵,
Goat_Passive,Goat,0,Passive,铃愿,
Goat_Skill01,Goat,1,Skill01,回春铃,
Goat_Skill02,Goat,2,Skill02,暖玉盾,
Goat_Skill03,Goat,3,Skill03,清铃音,
Goat_Skill04,Goat,4,Skill04,愿光环,
Goat_Ultimate,Goat,5,Ultimate,灵铃赐福,
Monkey_Passive,Monkey,0,Passive,猴戏,
Monkey_Skill01,Monkey,1,Skill01,翻跃,
Monkey_Skill02,Monkey,2,Skill02,猴影,
Monkey_Skill03,Monkey,3,Skill03,云跳,
Monkey_Skill04,Monkey,4,Skill04,摘星手,
Monkey_Ultimate,Monkey,5,Ultimate,百猴闹场,
Rooster_Passive,Rooster,0,Passive,晨鸣,
Rooster_Skill01,Rooster,1,Skill01,金鸡鸣,
Rooster_Skill02,Rooster,2,Skill02,金羽标,
Rooster_Skill03,Rooster,3,Skill03,明照,
Rooster_Skill04,Rooster,4,Skill04,晨羽阵,
Rooster_Ultimate,Rooster,5,Ultimate,破晓照天,
Dog_Passive,Dog,0,Passive,犬护,
Dog_Skill01,Dog,1,Skill01,扑援,
Dog_Skill02,Dog,2,Skill02,犬盾拍,
Dog_Skill03,Dog,3,Skill03,灵鼻踪,
Dog_Skill04,Dog,4,Skill04,护心圈,
Dog_Ultimate,Dog,5,Ultimate,天犬守门,
Pig_Passive,Pig,0,Passive,厚甲,
Pig_Skill01,Pig,1,Skill01,獠拱,
Pig_Skill02,Pig,2,Skill02,岩甲蓄,
Pig_Skill03,Pig,3,Skill03,锤震,
Pig_Skill04,Pig,4,Skill04,福印,
Pig_Ultimate,Pig,5,Ultimate,福山不动,
