Name,Zodiac,BodyTint,AccentTint
Rat,Rat,"(R=0.18,G=0.48,B=1.00,A=1.0)","(R=0.35,G=0.62,B=1.00,A=1.0)"
Ox,Ox,"(R=0.96,G=0.52,B=0.12,A=1.0)","(R=1.00,G=0.68,B=0.28,A=1.0)"
Tiger,Tiger,"(R=1.00,G=0.26,B=0.04,A=1.0)","(R=1.00,G=0.45,B=0.12,A=1.0)"
Rabbit,Rabbit,"(R=0.22,G=0.94,B=0.52,A=1.0)","(R=0.45,G=1.00,B=0.68,A=1.0)"
Dragon,Dragon,"(R=1.00,G=0.78,B=0.02,A=1.0)","(R=1.00,G=0.90,B=0.35,A=1.0)"
Snake,Snake,"(R=0.04,G=0.78,B=0.32,A=1.0)","(R=0.22,G=0.92,B=0.48,A=1.0)"
Horse,Horse,"(R=1.00,G=0.08,B=0.04,A=1.0)","(R=1.00,G=0.32,B=0.12,A=1.0)"
Goat,Goat,"(R=0.92,G=0.74,B=0.38,A=1.0)","(R=1.00,G=0.86,B=0.55,A=1.0)"
Monkey,Monkey,"(R=0.08,G=0.82,B=1.00,A=1.0)","(R=0.28,G=0.92,B=1.00,A=1.0)"
Rooster,Rooster,"(R=1.00,G=0.18,B=0.06,A=1.0)","(R=1.00,G=0.42,B=0.18,A=1.0)"
Dog,Dog,"(R=0.10,G=0.34,B=1.00,A=1.0)","(R=0.28,G=0.52,B=1.00,A=1.0)"
Pig,Pig,"(R=1.00,G=0.34,B=0.54,A=1.0)","(R=1.00,G=0.52,B=0.68,A=1.0)"
