Name,SkillID,CharacterID,Zodiac,ZodiacDisplayName,SkillType,DisplayName,EnglishSkillName,BaseCD,CastTime,Range,Radius,Duration,DamageCoefficient,ShieldCoefficient,HealCoefficient,ControlDuration,StackMax,ConditionTag,CounterTag,VFXAssetName,IconAssetName,VoiceLineID,VoiceLineText,NumericInterface,BalanceNote,bEnabled
Shadowfang_Attack,SKL_Shadowfang_BiteShadow,CHRShadowfang,Rat,子鼠·影牙灵君,Attack,咬影,BiteShadow,6,0,0,0,0,0,0,0,0,0,背袭;残血;嗅弱,可揭露;可净化,VFXShadowfang_BiteShadow,ICOShadowfang_BiteShadow,VO_Shadowfang_BiteShadow,别回头，太晚了。,啮伤伤害系数、流血时长、残血阈值、背袭角度,V2初版骨架；伤害/范围/持续待策划填数,True
Shadowfang_Move,SKL_Shadowfang_CrackGap,CHRShadowfang,Rat,子鼠·影牙灵君,Move,钻缝,CrackGap,12,0,0,0,0,0,0,0,0,0,低视野;墙边;草丛,可揭露;可绕行,VFXShadowfang_CrackGap,ICOShadowfang_CrackGap,VO_Shadowfang_CrackGap,这条缝，够我过去。,穿行距离、出口半径、返还比例、地形判定宽度,V2初版骨架；伤害/范围/持续待策划填数,True
Shadowfang_Control,SKL_Shadowfang_TendonBite,CHRShadowfang,Rat,子鼠·影牙灵君,Control,咬筋,TendonBite,10,0,0,0,0,0,0,0,0,0,嗅弱,可净化;可打断,VFXShadowfang_TendonBite,ICOShadowfang_TendonBite,VO_Shadowfang_TendonBite,脚步轻一点，命才能长一点。,减速比例、持续时间、位移削弱比例,V2初版骨架；伤害/范围/持续待策划填数,True
Shadowfang_Function,SKL_Shadowfang_WeakScent,CHRShadowfang,Rat,子鼠·影牙灵君,Function,嗅踪,WeakScent,18,0,0,0,0,0,0,0,0,0,低血;落单;保命后,可揭露;可驱散,VFXShadowfang_WeakScent,ICOShadowfang_WeakScent,VO_Shadowfang_WeakScent,我闻到破绽了。,探测半径、持续时间、目标类型优先级、刷新间隔,V2初版骨架；伤害/范围/持续待策划填数,True
Shadowfang_Defense,SKL_Shadowfang_HideTail,CHRShadowfang,Rat,子鼠·影牙灵君,Defense,藏尾,HideTail,22,0,0,0,0,0,0,0,0,0,低视野,可揭露;可打断,VFXShadowfang_HideTail,ICOShadowfang_HideTail,VO_Shadowfang_HideTail,影子动了，是我。,不可选中时长、移速提升、避光持续、受击取消规则,V2初版骨架；伤害/范围/持续待策划填数,True
Blackhorn_Attack,SKL_Blackhorn_HornSplit,CHRBlackhorn,Ox,丑牛·镇山玄角,Attack,裂角,HornSplit,7,0,0,0,0,0,0,0,0,0,墙体;正面,可绕行;可打断,VFXBlackhorn_HornSplit,ICOBlackhorn_HornSplit,VO_Blackhorn_HornSplit,想过去？先撼动我。,伤害系数、破甲比例、墙体判定距离、震荡范围,V2初版骨架；伤害/范围/持续待策划填数,True
Blackhorn_Move,SKL_Blackhorn_HeavyStep,CHRBlackhorn,Ox,丑牛·镇山玄角,Move,沉步,HeavyStep,13,0,0,0,0,0,0,0,0,0,持盾;正面,可绕行;可减速,VFXBlackhorn_HeavyStep,ICOBlackhorn_HeavyStep,VO_Blackhorn_HeavyStep,一步一山。,推进速度、持续时间、抗推比例、转向速度,V2初版骨架；伤害/范围/持续待策划填数,True
Blackhorn_Control,SKL_Blackhorn_PushBack,CHRBlackhorn,Ox,丑牛·镇山玄角,Control,顶回,PushBack,15,0,0,0,0,0,0,0,0,0,正面;通道,可绕行;可打断,VFXBlackhorn_PushBack,ICOBlackhorn_PushBack,VO_Blackhorn_PushBack,你推不动。,击退距离、打断优先级、通道加成、前摇时间,V2初版骨架；伤害/范围/持续待策划填数,True
Blackhorn_Function,SKL_Blackhorn_FormLine,CHRBlackhorn,Ox,丑牛·镇山玄角,Function,立阵,FormLine,24,0,0,0,0,0,0,0,0,0,阵前;身后队友,可绕行;可驱散,VFXBlackhorn_FormLine,ICOBlackhorn_FormLine,VO_Blackhorn_FormLine,站到我身后。,阵线宽度、持续时间、队友减伤、抗击退比例,V2初版骨架；伤害/范围/持续待策划填数,True
Blackhorn_Defense,SKL_Blackhorn_MountainStand,CHRBlackhorn,Ox,丑牛·镇山玄角,Defense,镇山,MountainStand,34,0,0,0,0,0,0,0,0,0,正面;站定,可绕后;可拉扯,VFXBlackhorn_MountainStand,ICOBlackhorn_MountainStand,VO_Blackhorn_MountainStand,山不退，我不退。,正面减伤、护盾转化率、持续时间、反震伤害,V2初版骨架；伤害/范围/持续待策划填数,True
