ZodiacType,CharacterName,Style,ReadabilityRule,PassiveIcon,QIcon,WIcon,EIcon,R1Icon,UltimateIcon
Rat,YeyingLingya,OrientalMythMOBA,ReadableAt64px,Rat_Passive_Seal,Rat_Q_DiveShadow,Rat_W_FlyingFang,Rat_E_Evade,Rat_R1_Scout,Rat_Ult_NightAppear
Ox,HanshanTiejiao,OrientalMythMOBA,ReadableAt64px,Ox_Passive_Stamina,Ox_Q_HornLift,Ox_W_StompWave,Ox_E_ShieldWall,Ox_R1_BackBash,Ox_Ult_MountainBreak
Tiger,XiaoshanBaihu,OrientalMythMOBA,ReadableAt64px,Tiger_Passive_Aura,Tiger_Q_Leap,Tiger_W_TripleClaw,Tiger_E_RoarGuard,Tiger_R1_WindClaw,Tiger_Ult_CommandMark
Rabbit,TayueYuling,OrientalMythMOBA,ReadableAt64px,Rabbit_Passive_LightMoon,Rabbit_Q_MoonStepReturn,Rabbit_W_CrescentWheel,Rabbit_E_MoonFlash,Rabbit_R1_MoonShadow,Rabbit_Ult_MoonWorship
Dragon,YuleiCanglong,OrientalMythMOBA,ReadableAt64px,Dragon_Passive_ThunderMark,Dragon_Q_ThunderDrake,Dragon_W_CloudThunderField,Dragon_E_ScaleGuard,Dragon_R1_ThunderGate,Dragon_Ult_CallThunder
Snake,YouduLingshe,OrientalMythMOBA,ReadableAt64px,Snake_Passive_SerpentPattern,Snake_Q_Scout,Snake_W_SerpentRing,Snake_E_ShedStep,Snake_R1_FlowerStep,Snake_Ult_FlowerSerpentDance
Horse,ChiyanLeiti,OrientalMythMOBA,ReadableAt64px,Horse_Passive_SprintForce,Horse_Q_ThunderCharge,Horse_W_FlameSpin,Horse_E_Reinforce,Horse_R1_FireTrail,Horse_Ult_ThunderEntry
Goat,YujiaoLingling,OrientalMythMOBA,ReadableAt64px,Goat_Passive_BellWish,Goat_Q_HealingBell,Goat_W_JadeShield,Goat_E_PurifyTone,Goat_R1_BlessRing,Goat_Ult_BellBlessing
Monkey,BaixiLinghou,OrientalMythMOBA,ReadableAt64px,Monkey_Passive_TrickCombo,Monkey_Q_Flip,Monkey_W_ShadowSwap,Monkey_E_CloudJump,Monkey_R1_StarGrab,Monkey_Ult_ChaosShow
Rooster,PoxiaoJinling,OrientalMythMOBA,ReadableAt64px,Rooster_Passive_DawnAlert,Rooster_Q_CryWave,Rooster_W_GoldenMark,Rooster_E_RevealLight,Rooster_R1_FeatherField,Rooster_Ult_DawnSky
Dog,ShoumenTianquan,OrientalMythMOBA,ReadableAt64px,Dog_Passive_Guard,Dog_Q_RescuePounce,Dog_W_ShieldSmash,Dog_E_TrackScent,Dog_R1_HeartCircle,Dog_Ult_GateGuard
Pig,YanjiaLiaoya,OrientalMythMOBA,ReadableAt64px,Pig_Passive_ThickArmor,Pig_Q_TuskRam,Pig_W_RockCharge,Pig_E_HammerShock,Pig_R1_FuSeal,Pig_Ult_ImmovableMountain
