Name,ElementType,ResonanceLevel,DisplayName,Description,Icon,DamageBonus,DefenseBonus,HealthBonus,EnergyRegenBonus,MoveSpeedBonus,ControlTimeBonus,ShieldBonus,ResonanceVFXName,ResonanceSFXName
Gold_0,Gold,0,无共鸣,无共鸣效果,None,0,0,0,0,0,0,0,None,None
Gold_1,Gold,1,初级共鸣·金,获得少量金属性加成,None,5,3,2,5,2,0.1,5,VFX_Resonance_Gold_L1,SFX_Resonance_Gold
Gold_2,Gold,2,中级共鸣·金,获得中量金属性加成,None,10,6,4,10,4,0.2,10,VFX_Resonance_Gold_L2,SFX_Resonance_Gold
Gold_3,Gold,3,高级共鸣·金,获得大量金属性加成,None,15,9,6,15,6,0.3,15,VFX_Resonance_Gold_L3,SFX_Resonance_Gold
Gold_4,Gold,4,超级共鸣·金,获得最大金属性加成,None,20,12,8,20,8,0.4,20,VFX_Resonance_Gold_L4,SFX_Resonance_Gold_Ultra
Wood_0,Wood,0,无共鸣,无共鸣效果,None,0,0,0,0,0,0,0,None,None
Wood_1,Wood,1,初级共鸣·木,获得少量木属性加成,None,3,5,5,3,4,0.15,3,VFX_Resonance_Wood_L1,SFX_Resonance_Wood
Wood_2,Wood,2,中级共鸣·木,获得中量木属性加成,None,6,10,10,6,8,0.3,6,VFX_Resonance_Wood_L2,SFX_Resonance_Wood
Wood_3,Wood,3,高级共鸣·木,获得大量木属性加成,None,9,15,15,9,12,0.45,9,VFX_Resonance_Wood_L3,SFX_Resonance_Wood
Wood_4,Wood,4,超级共鸣·木,获得最大木属性加成,None,12,20,20,12,16,0.6,12,VFX_Resonance_Wood_L4,SFX_Resonance_Wood_Ultra
Water_0,Water,0,无共鸣,无共鸣效果,None,0,0,0,0,0,0,0,None,None
Water_1,Water,1,初级共鸣·水,获得少量水属性加成,None,4,4,6,4,3,0.2,4,VFX_Resonance_Water_L1,SFX_Resonance_Water
Water_2,Water,2,中级共鸣·水,获得中量水属性加成,None,8,8,12,8,6,0.4,8,VFX_Resonance_Water_L2,SFX_Resonance_Water
Water_3,Water,3,高级共鸣·水,获得大量水属性加成,None,12,12,18,12,9,0.6,12,VFX_Resonance_Water_L3,SFX_Resonance_Water
Water_4,Water,4,超级共鸣·水,获得最大水属性加成,None,16,16,24,16,12,0.8,16,VFX_Resonance_Water_L4,SFX_Resonance_Water_Ultra
Fire_0,Fire,0,无共鸣,无共鸣效果,None,0,0,0,0,0,0,0,None,None
Fire_1,Fire,1,初级共鸣·火,获得少量火属性加成,None,6,2,3,6,5,0.1,3,VFX_Resonance_Fire_L1,SFX_Resonance_Fire
Fire_2,Fire,2,中级共鸣·火,获得中量火属性加成,None,12,4,6,12,10,0.2,6,VFX_Resonance_Fire_L2,SFX_Resonance_Fire
Fire_3,Fire,3,高级共鸣·火,获得大量火属性加成,None,18,6,9,18,15,0.3,9,VFX_Resonance_Fire_L3,SFX_Resonance_Fire
Fire_4,Fire,4,超级共鸣·火,获得最大火属性加成,None,24,8,12,24,20,0.4,12,VFX_Resonance_Fire_L4,SFX_Resonance_Fire_Ultra
Earth_0,Earth,0,无共鸣,无共鸣效果,None,0,0,0,0,0,0,0,None,None
Earth_1,Earth,1,初级共鸣·土,获得少量土属性加成,None,2,6,4,2,3,0.15,5,VFX_Resonance_Earth_L1,SFX_Resonance_Earth
Earth_2,Earth,2,中级共鸣·土,获得中量土属性加成,None,4,12,8,4,6,0.3,10,VFX_Resonance_Earth_L2,SFX_Resonance_Earth
Earth_3,Earth,3,高级共鸣·土,获得大量土属性加成,None,6,18,12,6,9,0.45,15,VFX_Resonance_Earth_L3,SFX_Resonance_Earth
Earth_4,Earth,4,超级共鸣·土,获得最大土属性加成,None,8,24,16,8,12,0.6,20,VFX_Resonance_Earth_L4,SFX_Resonance_Earth_Ultra
