ZodiacType,CharacterName,Scene,Line
Rat,子鼠·夜影灵牙,登场,夜色刚好，该我现身。
Rat,子鼠·夜影灵牙,移动,小步快跑，不留脚印。
Rat,子鼠·夜影灵牙,普攻,灵牙一点。
Rat,子鼠·夜影灵牙,被动,灵鼠印，记上了！
Rat,子鼠·夜影灵牙,Q,钻影！
Rat,子鼠·夜影灵牙,W,飞牙，连上！
Rat,子鼠·夜影灵牙,E,鼠遁，溜一下！
Rat,子鼠·夜影灵牙,R1,探穴，看看前面。
Rat,子鼠·夜影灵牙,大招,子夜现身，亮个相！
Rat,子鼠·夜影灵牙,击败,动作慢了点哦。
Rat,子鼠·夜影灵牙,低血量,还好，我会钻。
Ox,丑牛·撼山铁角,登场,铁角在前，大家放心。
Ox,丑牛·撼山铁角,移动,一步一个坑，稳。
Ox,丑牛·撼山铁角,普攻,这一拳，很实在。
Ox,丑牛·撼山铁角,被动,牛劲上来了！
Ox,丑牛·撼山铁角,Q,角挑！
Ox,丑牛·撼山铁角,W,铁蹄震，站稳了！
Ox,丑牛·撼山铁角,E,巨盾阵，往后靠！
Ox,丑牛·撼山铁角,R1,回身顶，别想绕！
Ox,丑牛·撼山铁角,大招,蛮牛开山，跟上！
Ox,丑牛·撼山铁角,击败,路，打开了。
Ox,丑牛·撼山铁角,低血量,我还稳得很。
Tiger,寅虎·啸山白虎,登场,白虎到场，气势先到。
Tiger,寅虎·啸山白虎,移动,山风带路。
Tiger,寅虎·啸山白虎,普攻,虎爪一挥。
Tiger,寅虎·啸山白虎,被动,虎威在此！
Tiger,寅虎·啸山白虎,Q,虎跃！
Tiger,寅虎·啸山白虎,W,三裂爪！
Tiger,寅虎·啸山白虎,E,虎啸提气，气势起来！
Tiger,寅虎·啸山白虎,R1,追风爪！
Tiger,寅虎·啸山白虎,大招,白虎点将，就你了！
Tiger,寅虎·啸山白虎,击败,这一局，威风不错。
Tiger,寅虎·啸山白虎,低血量,白虎还在，气势不散。
Rabbit,卯兔·踏月玉灵,登场,月光正好，轻轻起舞。
Rabbit,卯兔·踏月玉灵,移动,一步踏月，一步生风。
Rabbit,卯兔·踏月玉灵,普攻,月光轻点。
Rabbit,卯兔·踏月玉灵,被动,轻月。
Rabbit,卯兔·踏月玉灵,Q,踏月返！
Rabbit,卯兔·踏月玉灵,W,月牙轮，去！
Rabbit,卯兔·踏月玉灵,E,月闪。
Rabbit,卯兔·踏月玉灵,R1,留月影。
Rabbit,卯兔·踏月玉灵,大招,玉兔拜月，月轮落！
Rabbit,卯兔·踏月玉灵,击败,你追不上月光。
Rabbit,卯兔·踏月玉灵,低血量,月影还在，我也还在。
Dragon,辰龙·御雷苍龙,登场,苍龙在天，雷云听令。
Dragon,辰龙·御雷苍龙,移动,云起，雷随。
Dragon,辰龙·御雷苍龙,普攻,龙息一点。
Dragon,辰龙·御雷苍龙,被动,龙雷印。
Dragon,辰龙·御雷苍龙,Q,雷龙！
Dragon,辰龙·御雷苍龙,W,云雷阵，落。
Dragon,辰龙·御雷苍龙,E,龙鳞护体。
Dragon,辰龙·御雷苍龙,R1,雷门已开。
Dragon,辰龙·御雷苍龙,大招,苍龙唤雷，天光齐落！
Dragon,辰龙·御雷苍龙,击败,雷声过后，尘埃自定。
Dragon,辰龙·御雷苍龙,低血量,龙鳞未散，雷云未停。
Snake,巳蛇·幽毒灵蛇,登场,灵蛇起舞，花纹轻开。
Snake,巳蛇·幽毒灵蛇,移动,轻轻滑过，不惊花叶。
Snake,巳蛇·幽毒灵蛇,普攻,灵纹一点。
Snake,巳蛇·幽毒灵蛇,被动,蛇纹，开。
Snake,巳蛇·幽毒灵蛇,Q,蛇探。
Snake,巳蛇·幽毒灵蛇,W,蛇环，绕起来。
Snake,巳蛇·幽毒灵蛇,E,蜕影步。
Snake,巳蛇·幽毒灵蛇,R1,花步轻移。
Snake,巳蛇·幽毒灵蛇,大招,百花蛇舞，满场开花！
Snake,巳蛇·幽毒灵蛇,击败,步子乱了哦。
Snake,巳蛇·幽毒灵蛇,低血量,换个影子，再跳一步。
Horse,午马·赤焰雷蹄,登场,听见蹄声，就是我来了。
Horse,午马·赤焰雷蹄,移动,风在后面追我。
Horse,午马·赤焰雷蹄,普攻,枪随步走。
Horse,午马·赤焰雷蹄,被动,奔势已起！
Horse,午马·赤焰雷蹄,Q,雷蹄冲！
Horse,午马·赤焰雷蹄,W,赤焰旋！
Horse,午马·赤焰雷蹄,E,驰援，撑住！
Horse,午马·赤焰雷蹄,R1,踏火印，跟上！
Horse,午马·赤焰雷蹄,大招,奔雷入阵，开路！
Horse,午马·赤焰雷蹄,击败,来得正好。
Horse,午马·赤焰雷蹄,低血量,还能跑，就还能赢。
Goat,未羊·玉角灵铃,登场,铃声在，大家都安心。
Goat,未羊·玉角灵铃,移动,愿光随行。
Goat,未羊·玉角灵铃,普攻,轻轻一点。
Goat,未羊·玉角灵铃,被动,铃愿已起。
Goat,未羊·玉角灵铃,Q,回春铃，别急。
Goat,未羊·玉角灵铃,W,暖玉盾，护住你。
Goat,未羊·玉角灵铃,E,清铃音，轻快起来。
Goat,未羊·玉角灵铃,R1,愿光环，站这里。
Goat,未羊·玉角灵铃,大招,灵铃赐福，愿光满场！
Goat,未羊·玉角灵铃,击败,守护也有力量。
Goat,未羊·玉角灵铃,低血量,铃声还没停。
Monkey,申猴·百戏灵猴,登场,戏开场啦，别眨眼！
Monkey,申猴·百戏灵猴,移动,上蹿下跳，才叫灵活。
Monkey,申猴·百戏灵猴,普攻,接招！
Monkey,申猴·百戏灵猴,被动,猴戏开场！
Monkey,申猴·百戏灵猴,Q,翻跃！
Monkey,申猴·百戏灵猴,W,猴影，猜猜看！
Monkey,申猴·百戏灵猴,E,云跳！
Monkey,申猴·百戏灵猴,R1,摘星手，捞一下！
Monkey,申猴·百戏灵猴,大招,百猴闹场，热闹起来！
Monkey,申猴·百戏灵猴,击败,这场戏，好看吧？
Monkey,申猴·百戏灵猴,低血量,还没谢幕呢！
Rooster,酉鸡·破晓金翎,登场,天还没亮，我先报个晓。
Rooster,酉鸡·破晓金翎,移动,走亮堂路，心里不慌。
Rooster,酉鸡·破晓金翎,普攻,金羽轻点。
Rooster,酉鸡·破晓金翎,被动,晨鸣，有动静！
Rooster,酉鸡·破晓金翎,Q,金鸡鸣！
Rooster,酉鸡·破晓金翎,W,金羽标，跟上它。
Rooster,酉鸡·破晓金翎,E,明照，照一照。
Rooster,酉鸡·破晓金翎,R1,晨羽阵，站稳视野。
Rooster,酉鸡·破晓金翎,大招,破晓照天，全场看清！
Rooster,酉鸡·破晓金翎,击败,藏得不错，亮得更快。
Rooster,酉鸡·破晓金翎,低血量,晨光还亮着。
Dog,戌狗·守门天犬,登场,门我来看，队友我护。
Dog,戌狗·守门天犬,移动,我闻到机会了。
Dog,戌狗·守门天犬,普攻,盾来一下。
Dog,戌狗·守门天犬,被动,犬护在。
Dog,戌狗·守门天犬,Q,扑援，别怕！
Dog,戌狗·守门天犬,W,犬盾拍！
